dataset,variant,accuracy_mean,accuracy_std,inference_us_mean,inference_us_std,train_ms_mean,train_ms_std,n_seeds,notes
cancer,Without Outlier Removal,0.917544,0.01921810112888367,0.0022666640000000007,0.00016476243285409447,1.6395999999999997,0.02869320477046785,5,No Phase 1 cleanup
cancer,Nearest Vertex Only (1-NN),0.9298246000000001,0.01754350000142502,0.48640340000000004,0.021304851332501703,0.0,0.0,5,No half-plane boundary
cancer,Outlier multiplier=1.50,0.9298246000000001,0.01754350000142502,0.0,0.0,0.0,0.0,5,390 vertices
cancer,Outlier multiplier=2.00,0.9315789999999999,0.02094238127577663,0.0,0.0,0.0,0.0,5,402 vertices
cancer,Outlier multiplier=3.00,0.9438596,0.02112533754286543,0.0,0.0,0.0,0.0,5,428 vertices
cancer,Outlier multiplier=5.00,0.9385964,0.021486413714252073,0.0,0.0,0.0,0.0,5,433 vertices
cancer,Outlier multiplier=10.0,0.922807,0.025118696373418736,0.0,0.0,0.0,0.0,5,446 vertices
bloodmnist,Full Pipeline (Ours),0.330897,0.0,0.0023799480000000002,0.00035476402364106765,28.693599999999996,0.09998899939493422,5,2D Buckets + Outlier + HalfPlane
bloodmnist,Without 2D Buckets Grid,0.320374,0.0,0.5919008,0.018869500078168445,0.0,0.0,5,DT locate walk (no O(1) grid)
bloodmnist,Without Outlier Removal,0.209003,0.0,0.0019658,0.00014696143916007363,38.5966,0.15910939632843749,5,No Phase 1 cleanup
bloodmnist,Nearest Vertex Only (1-NN),0.320666,0.0,0.8432548000000001,0.023190361234788927,0.0,0.0,5,No half-plane boundary
bloodmnist,Outlier multiplier=1.50,0.336744,0.0,0.0,0.0,0.0,0.0,5,3745 vertices
bloodmnist,Outlier multiplier=2.00,0.323005,0.0,0.0,0.0,0.0,0.0,5,4288 vertices
bloodmnist,Outlier multiplier=3.00,0.330897,0.0,0.0,0.0,0.0,0.0,5,5026 vertices
bloodmnist,Outlier multiplier=5.00,0.317451,0.0,0.0,0.0,0.0,0.0,5,5547 vertices
bloodmnist,Outlier multiplier=10.0,0.305174,0.0,0.0,0.0,0.0,0.0,5,5986 vertices
